2020-02-11 13:42:21.595 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2020-02-11 13:42:21.901 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2020-02-11 13:42:21.901 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2020-02-11 13:42:22.296 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2020-02-11 13:42:22.296 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2020-02-11 13:42:22.344 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=0a6b0766-0c6d-3052-92c7-c48b5f5b4f0a
2020-02-11 13:42:23.169 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2020-02-11 13:42:23.440 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-11 13:42:23.503 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2020-02-11 13:42:23.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2020-02-11 13:42:23.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2020-02-11 13:42:23.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2020-02-11 13:42:23.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2020-02-11 13:42:23.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2020-02-11 13:42:23.505 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2020-02-11 13:42:23.912 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-11 13:42:24.766 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2020-02-11 13:42:24.785 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:24.786 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-02-11 13:42:24.787 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-02-11 13:42:24.898 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-02-11 13:42:24.898 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5933 ms
2020-02-11 13:42:25.065 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-02-11 13:42:25.085 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@1169afe1
2020-02-11 13:42:27.896 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-02-11 13:42:27.920 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2020-02-11 13:42:27.923 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-02-11 13:42:27.972 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1581399747926 with initial instances count: 0
2020-02-11 13:42:28.121 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application CART-SERVER with eureka with status UP
2020-02-11 13:42:28.122 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1581399748122, current=UP, previous=STARTING]
2020-02-11 13:42:28.158 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:28.408 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CART-SERVER/linpengcheng:cart-server:8003: registering service...
